longitude,latitude
-117.3577542,47.92182627
-117.7975706,47.40413696
-117.2029593,47.8335729
-117.6022489,47.53624901
-117.1130483,47.97564295
-117.4793952,47.70995971
-117.4629857,47.671245
-117.2172983,47.66674281
-117.1788254,47.65262135
-117.3779746,47.83158312
-117.5198071,47.96138493
-117.4935547,47.47898912
-117.0496994,47.45504738
-117.0624424,47.54034288
-117.5846746,47.4417798
-117.2608311,47.70373868
-117.4674256,48.0032719
-117.1994992,47.34460991
-117.4505048,47.70824166
-117.1550624,47.83154567
-117.3017206,47.85204189
-117.4003357,47.69837303
-117.7979303,47.26035039
-117.5307101,47.41757927
-117.6642522,47.72862101
-117.7239351,47.33084243
-117.7259086,47.80966336
-117.323739,47.69701592
-117.4283815,47.68179472
-117.3663098,47.52025393
-117.189676,47.33639692
-117.4782683,47.72178426
-117.2847516,47.32826236
-117.126317,47.95628208
-117.4660388,47.85340505
-117.1019805,47.97881551
-117.6037352,47.38442033
-117.1919134,47.77314821
-117.8145183,47.37662241
-117.5787163,47.42853662
-117.731169,47.33367701
-117.1731759,47.44025331
-117.5155396,47.42282022
-117.2030804,47.81363835
-117.1266146,47.70002028
-117.3759832,47.51312421
-117.7644881,47.27450516
-117.460063,47.34347277
-117.4558815,47.87994368
-117.1530882,47.63802109
-117.5331249,47.3943926
-117.1526399,47.70189602
-117.7338218,47.41122166
-117.0556702,47.85338529
-117.2289795,47.44358535
-117.2456683,47.75252253
-117.0430597,47.53289631
-117.441402,47.79997841
-117.3207256,47.35138131
-117.0951344,47.43353817
-117.3591636,47.46962151
-117.5564148,47.5628413
-117.7071343,47.3022114
-117.4034392,47.57195055
-117.5350191,47.76099845
-117.3162059,47.4982518
-117.2874569,47.65560552
-117.4655876,47.27729318
-117.5225283,47.77896827
-117.5298823,47.49196802
-117.6354044,47.7530474
-117.3591483,47.63257049
-117.5736948,47.69692085
-117.3977446,47.80150558
-117.5946591,47.67433465
-117.1476248,47.90406957
-117.1082591,47.27036276
-117.3748738,47.57846651
-117.6709667,47.47344077
-117.0811083,47.76768371
-117.2646121,47.39349248
-117.1009029,47.82552735
-117.399847,47.84306229
-117.3875458,47.55617546
-117.3204141,47.30786062
-117.1184099,48.01076586
-117.3205441,47.61788118
-117.1181887,47.92542029
-117.4400817,47.31231421
-117.4426176,47.91274325
-117.6642869,47.76476906
-117.2681016,47.9975792
-117.5299278,47.5442725
-117.7393926,47.81660706
-117.5586138,47.73754291
-117.1826738,47.81095877
-117.4637243,47.65353407
-117.6232256,47.62312561
-117.2659641,47.71621471
-117.7351678,47.49397609
-117.5200447,47.61685059
-117.4106035,47.66437898
-117.4329538,47.9761632
-117.7843674,47.58923294
-117.3279797,47.4289599
-117.1285389,47.86979959
-117.36581,47.31360166
-117.6551876,47.82410166
-117.43142,48.03279633
-117.7341824,47.6404211
-117.6456412,47.6353648
-117.113059,47.5659245
-117.7409602,47.72050789
-117.3243678,47.80840337
-117.1468311,47.62713134
-117.0582292,47.51556321
-117.3930105,47.41066024
-117.5108965,47.39670158
-117.0416915,47.45434535
-117.7606238,47.77630207
-117.6666848,47.34477139
-117.3790228,47.40095613
-117.3823666,47.50699777
-117.3989211,47.29451418
-117.413869,48.04304024
-117.7286222,47.75170692
-117.7318296,47.46782137
-117.0609834,47.59673551
-117.0863393,47.77095224
-117.4764369,47.38682216
-117.2487301,48.04279427
-117.3840258,47.79110146
-117.3873526,47.64924235
-117.7457707,47.43523663
-117.1132007,47.40092982
-117.3009652,47.72938405
-117.096533,48.04042548
-117.4282265,47.80029238
-117.1985328,47.27626758
-117.1665607,47.82268943
-117.2710619,47.66492608
-117.0806847,47.61750731
-117.0597573,47.88794324
-117.6613926,47.8040007
-117.2514483,48.0021721
-117.2881179,48.04207497
-117.336596,47.94176258
-117.5535343,47.58770457
-117.6271899,47.76834702
-117.2686455,48.01022159
-117.5999835,47.50380219
-117.6560233,47.29782679
-117.4573189,47.99579952
